lang_code,num_texts,num_tokens,num_segments
eng_Latn,4281890,3002029817,160866722
aze_Latn,37164868,2945944418,219494627
fil_Latn,31070604,2201007900,132177667
glg_Latn,12790645,1937385934,93514012
kaz_Cyrl,16322410,1887450418,154392094
ind_Latn,67557847,1808201474,87282370
isl_Latn,14664335,1804047812,132964648
guj_Gujr,35064895,1773130252,112159675
hbs_Latn,46658840,1707350379,107723226
nep_Deva,8155894,1662085257,30513688
kat_Geor,12671321,1512622407,122025801
mon_Cyrl,8290219,1510305774,118048946
mal_Mlym,30641600,1498776488,168110043
urd_Arab,6945706,1445174909,5355134
cat_Latn,22724612,1430973328,64425308
hye_Armn,11395129,1426628841,41752330
kan_Knda,29284703,1408980700,133334647
mkd_Cyrl,12334586,1396770653,75542837
rus_Cyrl,2206909,1378509553,102898553
bel_Cyrl,9324584,1372488835,105542504
slv_Latn,31041614,1346421854,90668224
deu_Latn,2945183,1329230625,95691391
pan_Guru,24089838,1299895042,31661969
tgk_Cyrl,15000373,1186291049,73569666
fra_Latn,2004066,1095971273,47550386
mlt_Latn,23806322,1041615375,82632015
afr_Latn,6022476,1003941414,56451988
lat_Latn,6814649,861384171,78726410
swa_Latn,6954126,851726745,46106294
uzb_Latn,5179406,845492485,61852907
spa_Latn,1189941,841936930,36593166
epo_Latn,4156016,838700990,53816421
eus_Latn,6813155,836823704,61195001
sin_Sinh,6202537,799032803,73294110
som_Latn,4511601,768155434,41520307
ita_Latn,1724781,766740039,33324967
tel_Telu,5241200,714669811,82315092
sqi_Latn,15930222,711992648,34953925
srp_Cyrl,14168585,706894576,45075645
kir_Cyrl,3777848,704657954,59324077
cym_Latn,4489187,692649050,33522357
est_Latn,17625171,687125464,53645601
gle_Latn,3990600,640323588,31221727
ceb_Latn,8711101,589155919,43873801
bos_Latn,3722675,565519117,29400943
pus_Arab,2719057,528440437,17517478
mar_Deva,10058726,504711220,35285939
nno_Latn,4215623,471105839,33106388
mya_Mymr,2809258,435839430,19739808
por_Latn,971060,429869095,19845636
ukr_Cyrl,2214054,418752540,32563907
snd_Arab,1396235,412945262,27539524
ltz_Latn,7987910,409783864,28013473
pol_Latn,1488982,383246448,27616745
nld_Latn,1356109,367361297,20989300
ara_Arab,994741,353910757,13874297
tat_Cyrl,3495540,347728363,30374259
tam_Taml,14286478,340484846,39029934
kur_Latn,1939357,330774651,18508566
amh_Ethi,2753751,322071327,6426274
heb_Hebr,459708,317702897,15281273
vie_Latn,1213419,291741898,11602606
ell_Grek,554126,285245735,15272200
hau_Latn,3379306,284760264,12049976
fas_Arab,2312941,284445523,11447564
nor_Latn,2766047,267897981,17287646
kaa_Cyrl,622689,264110392,20584437
swe_Latn,1963070,247539249,15881265
ces_Latn,600466,239306802,17020784
uzb_Cyrl,2404345,219454908,15372400
mlg_Latn,2253345,218489315,11426113
fry_Latn,1528632,214074100,14251260
hat_Latn,2006786,211937063,11363098
kor_Hang,1395388,207571437,15514755
bul_Cyrl,1754740,196885478,13784291
hun_Latn,476306,194037655,15282196
khm_Khmr,2083169,193544091,6717172
yid_Hebr,1027316,184757902,9784173
ckb_Arab,1009164,177904079,7641620
jpn_Japn,1758969,174576574,6062513
hmn_Latn,1261650,173217860,8875032
mri_Latn,1302121,166968175,7585776
jav_Latn,1007903,150032414,10124957
hbs_Cyrl,3725135,145021774,8430050
nob_Latn,7623206,144107972,8230788
ron_Latn,340879,141786521,7321205
fin_Latn,595299,139713879,12185718
cos_Latn,1847734,139279481,8483207
uig_Arab,778733,137297636,7753643
ast_Latn,1617819,136935657,6945831
gla_Latn,685948,134805040,6467745
sna_Latn,2056627,134078958,7732855
zul_Latn,2325192,131231091,9019830
tur_Latn,463034,129580599,8995498
sun_Latn,1676312,123969510,8493113
ori_Orya,1028999,121025642,1117029
lit_Latn,1775486,118475656,11270474
dan_Latn,344835,116367805,7619965
msa_Latn,1621516,116187646,7335932
bak_Cyrl,1498409,112867366,9800541
ibo_Latn,1121668,112093152,5876556
kin_Latn,561399,112052403,5189441
smo_Latn,791033,106590324,4415088
div_Thaa,1927200,106210697,8921933
sot_Latn,862056,105026871,4931596
nya_Latn,1161355,104313686,6384624
yor_Latn,933961,98698752,4426491
haw_Latn,774511,98023960,4491556
fao_Latn,1847145,97170977,6702617
