lang_pair,src_num_texts,src_num_tokens,src_num_segments,tgt_num_texts,tgt_num_tokens,tgt_num_segments,tot_num_tokens
eng_Latn-fra_Latn,932393965,13115000000,1857152334,932393965,17774000000,808169798,30889000000
eng_Latn-spa_Latn,759721472,13140000000,1487188402,759721472,14329000000,667176107,27469000000
eng_Latn-deu_Latn,560988113,8546759248,1067582424,560988113,8091456245,486725072,16638215493
eng_Latn-ita_Latn,295179477,4964965008,580356057,295179477,5039916861,257074288,10004881869
spa_Latn-fra_Latn,285929091,4259401362,228186058,285929091,4325941443,222140770,8585342805
deu_Latn-eng_Latn,247466857,3750995010,223910461,247466857,3898775458,484768918,7649770468
deu_Latn-fra_Latn,231945903,3557585311,212160094,231945903,4084773161,197924691,7642358472
eng_Latn-nld_Latn,249200292,3541556701,485106821,249200292,3566042505,211165767,7107599206
deu_Latn-spa_Latn,206183312,3104820067,184069108,206183312,3529599704,176700641,6634419771
spa_Latn-por_Latn,198464184,3383741948,166675885,198464184,3226060076,164390031,6609802024
eng_Latn-rus_Cyrl,208960371,3509910361,421679683,208960371,3070524576,192274297,6580434937
eng_Latn-por_Latn,173741843,3182795789,347190324,173741843,3298085702,158294915,6480881491
deu_Latn-ita_Latn,141320368,2236879989,131225286,141320368,2411416073,123998472,4648296062
spa_Latn-ita_Latn,148211595,2381518912,120444900,148211595,2251919714,117498071,4633438626
fra_Latn-ita_Latn,147718670,2278901783,114548499,147718670,2128767036,114681351,4407668819
eng_Latn-pol_Latn,165833150,2288004578,331230871,165833150,2002109228,148168045,4290113806
eng_Latn-swe_Latn,160858530,2198925471,307811233,160858530,2038121699,128121785,4237047170
deu_Latn-por_Latn,127310706,1812633704,117716405,127310706,1965449448,115013782,3778083152
deu_Latn-nld_Latn,129199714,1828455888,117188393,129199714,1938836600,112624676,3767292488
fra_Latn-por_Latn,127813555,1917708591,99664352,127813555,1803140357,101487605,3720848948
eng_Latn-ces_Latn,156176838,1970863729,299214105,156176838,1732588277,127542249,3703452006
eng_Latn-ron_Latn,134655967,1825811255,269029268,134655967,1873832915,118329415,3699644170
eng_Latn-ara_Arab,109718201,1879242506,228621001,109718201,1669274119,82298311,3548516625
eng_Latn-dan_Latn,117108665,1700290815,227974719,117108665,1620056449,104010017,3320347264
eng_Latn-ell_Grek,119189268,1639456131,238267982,119189268,1631862212,105861125,3271318343
eng_Latn-hun_Latn,123801160,1519484405,238503300,123801160,1289014137,100810303,2808498542
